county_name,year,state_po,county_fips,totalvotes,DEMOCRAT,LIBERTARIAN,OTHER,REPUBLICAN
ADAMS,2020,PA,42001.0,56540,18207.0,810.0,,37523.0
ADAMS,2024,PA,42001.0,60650,19842.0,342.0,218.0,40248.0
ALLEGHENY,2020,PA,42003.0,719733,429065.0,8344.0,,282324.0
ALLEGHENY,2024,PA,42003.0,720504,429916.0,3302.0,3691.0,283595.0
ARMSTRONG,2020,PA,42005.0,36370,8457.0,424.0,,27489.0
ARMSTRONG,2024,PA,42005.0,37119,8553.0,182.0,88.0,28296.0
BEAVER,2020,PA,42007.0,94122,38122.0,1241.0,,54759.0
BEAVER,2024,PA,42007.0,94843,37196.0,502.0,308.0,56837.0
BEDFORD,2020,PA,42009.0,27574,4367.0,182.0,,23025.0
BEDFORD,2024,PA,42009.0,28160,4336.0,100.0,66.0,23658.0
BERKS,2020,PA,42011.0,205540,92895.0,2909.0,,109736.0
BERKS,2024,PA,42011.0,209838,91125.0,1094.0,942.0,116677.0
BLAIR,2020,PA,42013.0,63595,17636.0,653.0,,45306.0
BLAIR,2024,PA,42013.0,64949,18127.0,274.0,196.0,46352.0
BRADFORD,2020,PA,42015.0,30159,8046.0,513.0,,21600.0
BRADFORD,2024,PA,42015.0,31192,7990.0,180.0,85.0,22937.0
BUCKS,2020,PA,42017.0,396234,204712.0,4155.0,,187367.0
BUCKS,2024,PA,42017.0,401028,198431.0,1904.0,1971.0,198722.0
BUTLER,2020,PA,42019.0,113305,37508.0,1438.0,,74359.0
BUTLER,2024,PA,42019.0,121440,40661.0,665.0,341.0,79773.0
CAMBRIA,2020,PA,42021.0,70574,21730.0,759.0,,48085.0
CAMBRIA,2024,PA,42021.0,71136,21177.0,337.0,214.0,49408.0
CAMERON,2020,PA,42023.0,2434,634.0,29.0,,1771.0
CAMERON,2024,PA,42023.0,2219,538.0,17.0,10.0,1654.0
CARBON,2020,PA,42025.0,33629,11212.0,433.0,,21984.0
CARBON,2024,PA,42025.0,35395,11394.0,171.0,122.0,23708.0
CENTRE,2020,PA,42027.0,77493,40055.0,1066.0,,36372.0
CENTRE,2024,PA,42027.0,80792,41119.0,470.0,374.0,38829.0
CHESTER,2020,PA,42029.0,314502,182372.0,3565.0,,128565.0
CHESTER,2024,PA,42029.0,324964,184281.0,1776.0,1608.0,137299.0
CLARION,2020,PA,42031.0,19493,4678.0,237.0,,14578.0
CLARION,2024,PA,42031.0,19733,4562.0,91.0,44.0,15036.0
CLEARFIELD,2020,PA,42033.0,39422,9673.0,546.0,,29203.0
CLEARFIELD,2024,PA,42033.0,40430,9647.0,183.0,119.0,30481.0
CLINTON,2020,PA,42035.0,17625,5502.0,221.0,,11902.0
CLINTON,2024,PA,42035.0,18522,5395.0,100.0,62.0,12965.0
COLUMBIA,2020,PA,42037.0,31171,10532.0,541.0,,20098.0
COLUMBIA,2024,PA,42037.0,32576,11083.0,193.0,110.0,21190.0
CRAWFORD,2020,PA,42039.0,42004,12924.0,521.0,,28559.0
CRAWFORD,2024,PA,42039.0,42872,12858.0,214.0,115.0,29685.0
CUMBERLAND,2020,PA,42041.0,141595,62245.0,2138.0,,77212.0
CUMBERLAND,2024,PA,42041.0,148396,66255.0,921.0,953.0,80267.0
DAUPHIN,2020,PA,42043.0,147368,78983.0,1977.0,,66408.0
DAUPHIN,2024,PA,42043.0,149526,78327.0,832.0,893.0,69474.0
DELAWARE,2020,PA,42045.0,327931,206423.0,2976.0,,118532.0
DELAWARE,2024,PA,42045.0,328172,201324.0,1300.0,2127.0,123421.0
ELK,2020,PA,42047.0,16906,4522.0,244.0,,12140.0
ELK,2024,PA,42047.0,17153,4483.0,75.0,52.0,12543.0
ERIE,2020,PA,42049.0,137083,68286.0,1928.0,,66869.0
ERIE,2024,PA,42049.0,137595,67456.0,686.0,587.0,68866.0
FAYETTE,2020,PA,42051.0,62139,20444.0,468.0,,41227.0
FAYETTE,2024,PA,42051.0,63472,19548.0,169.0,122.0,43633.0
FOREST,2020,PA,42053.0,2646,728.0,36.0,,1882.0
FOREST,2024,PA,42053.0,2650,724.0,9.0,15.0,1902.0
FRANKLIN,2020,PA,42055.0,80783,22422.0,1116.0,,57245.0
FRANKLIN,2024,PA,42055.0,83884,23543.0,457.0,280.0,59604.0
FULTON,2020,PA,42057.0,7977,1085.0,68.0,,6824.0
FULTON,2024,PA,42057.0,8177,1102.0,23.0,13.0,7039.0
GREENE,2020,PA,42059.0,17669,4911.0,179.0,,12579.0
GREENE,2024,PA,42059.0,17236,4592.0,90.0,235.0,12319.0
HUNTINGDON,2020,PA,42061.0,22792,5445.0,286.0,,17061.0
HUNTINGDON,2024,PA,42061.0,23156,5368.0,108.0,53.0,17627.0
INDIANA,2020,PA,42063.0,41198,12634.0,475.0,,28089.0
INDIANA,2024,PA,42063.0,42229,12697.0,194.0,123.0,29215.0
JEFFERSON,2020,PA,42065.0,22824,4527.0,337.0,,17960.0
JEFFERSON,2024,PA,42065.0,23129,4707.0,131.0,56.0,18235.0
JUNIATA,2020,PA,42067.0,12043,2253.0,141.0,,9649.0
JUNIATA,2024,PA,42067.0,12104,2290.0,64.0,29.0,9721.0
LACKAWANNA,2020,PA,42069.0,115410,61991.0,1085.0,,52334.0
LACKAWANNA,2024,PA,42069.0,116590,59510.0,425.0,394.0,56261.0
LANCASTER,2020,PA,42071.0,280239,115847.0,4183.0,,160209.0
LANCASTER,2024,PA,42071.0,289257,120119.0,1727.0,1150.0,166261.0
LAWRENCE,2020,PA,42073.0,46076,15978.0,501.0,,29597.0
LAWRENCE,2024,PA,42073.0,47110,15440.0,179.0,144.0,31347.0
LEBANON,2020,PA,42075.0,71652,23932.0,989.0,,46731.0
LEBANON,2024,PA,42075.0,73692,24734.0,390.0,286.0,48282.0
LEHIGH,2020,PA,42077.0,184713,98288.0,2166.0,,84259.0
LEHIGH,2024,PA,42077.0,189810,96317.0,855.0,1431.0,91207.0
LUZERNE,2020,PA,42079.0,153321,64873.0,1519.0,,86929.0
LUZERNE,2024,PA,42079.0,156150,62504.0,640.0,562.0,92444.0
LYCOMING,2020,PA,42081.0,59254,16971.0,821.0,,41462.0
LYCOMING,2024,PA,42081.0,59685,17216.0,296.0,212.0,41961.0
MCKEAN,2020,PA,42083.0,19466,5098.0,285.0,,14083.0
MCKEAN,2024,PA,42083.0,19682,5115.0,108.0,58.0,14401.0
MERCER,2020,PA,42085.0,57954,21067.0,744.0,,36143.0
MERCER,2024,PA,42085.0,58410,20145.0,312.0,192.0,37761.0
MIFFLIN,2020,PA,42087.0,21502,4603.0,229.0,,16670.0
MIFFLIN,2024,PA,42087.0,22071,4735.0,95.0,57.0,17184.0
MONROE,2020,PA,42089.0,83829,44060.0,1043.0,,38726.0
MONROE,2024,PA,42089.0,85525,42007.0,401.0,441.0,42676.0
MONTGOMERY,2020,PA,42091.0,510157,319511.0,5186.0,,185460.0
MONTGOMERY,2024,PA,42091.0,520906,317103.0,2508.0,2984.0,198311.0
MONTOUR,2020,PA,42093.0,9771,3771.0,156.0,,5844.0
MONTOUR,2024,PA,42093.0,9908,3862.0,58.0,44.0,5944.0
NORTHAMPTON,2020,PA,42095.0,170942,85087.0,2001.0,,83854.0
NORTHAMPTON,2024,PA,42095.0,178215,86655.0,813.0,930.0,89817.0
NORTHUMBERLAND,2020,PA,42097.0,42283,12677.0,654.0,,28952.0
NORTHUMBERLAND,2024,PA,42097.0,43522,12863.0,255.0,164.0,30240.0
PERRY,2020,PA,42099.0,24652,5950.0,409.0,,18293.0
PERRY,2024,PA,42099.0,25725,6385.0,164.0,103.0,19073.0
PHILADELPHIA,2020,PA,42101.0,741377,603790.0,4847.0,,132740.0
PHILADELPHIA,2024,PA,42101.0,721441,568571.0,2326.0,6233.0,144311.0
PIKE,2020,PA,42103.0,32554,13019.0,322.0,,19213.0
PIKE,2024,PA,42103.0,34950,13132.0,137.0,144.0,21537.0
POTTER,2020,PA,42105.0,9064,1726.0,99.0,,7239.0
POTTER,2024,PA,42105.0,9085,1675.0,56.0,20.0,7334.0
SCHUYLKILL,2020,PA,42107.0,70603,20727.0,1005.0,,48871.0
SCHUYLKILL,2024,PA,42107.0,73184,20882.0,369.0,268.0,51665.0
SNYDER,2020,PA,42109.0,19140,4910.0,247.0,,13983.0
SNYDER,2024,PA,42109.0,20038,5239.0,90.0,45.0,14664.0
SOMERSET,2020,PA,42111.0,40543,8654.0,423.0,,31466.0
SOMERSET,2024,PA,42111.0,40881,8596.0,189.0,103.0,31993.0
SULLIVAN,2020,PA,42113.0,3595,921.0,55.0,,2619.0
SULLIVAN,2024,PA,42113.0,3721,976.0,12.0,12.0,2721.0
SUSQUEHANNA,2020,PA,42115.0,21752,6236.0,309.0,,15207.0
SUSQUEHANNA,2024,PA,42115.0,22404,6093.0,131.0,66.0,16114.0
TIOGA,2020,PA,42117.0,21075,4955.0,378.0,,15742.0
TIOGA,2024,PA,42117.0,21587,5100.0,144.0,71.0,16272.0
UNION,2020,PA,42119.0,20115,7475.0,284.0,,12356.0
UNION,2024,PA,42119.0,21188,8015.0,100.0,104.0,12969.0
VENANGO,2020,PA,42121.0,26528,7585.0,374.0,,18569.0
VENANGO,2024,PA,42121.0,26732,7624.0,137.0,88.0,18883.0
WARREN,2020,PA,42123.0,20650,6066.0,347.0,,14237.0
WARREN,2024,PA,42123.0,20723,6212.0,113.0,53.0,14345.0
WASHINGTON,2020,PA,42125.0,118478,45088.0,1310.0,,72080.0
WASHINGTON,2024,PA,42125.0,121617,44910.0,524.0,254.0,75929.0
WAYNE,2020,PA,42127.0,28089,9191.0,261.0,,18637.0
WAYNE,2024,PA,42127.0,29444,9150.0,125.0,98.0,20071.0
WESTMORELAND,2020,PA,42129.0,204697,72129.0,2350.0,,130218.0
WESTMORELAND,2024,PA,42129.0,211450,74904.0,971.0,567.0,135008.0
WYOMING,2020,PA,42131.0,14858,4704.0,218.0,,9936.0
WYOMING,2024,PA,42131.0,15052,4680.0,90.0,60.0,10222.0
YORK,2020,PA,42133.0,238471,88114.0,3624.0,,146733.0
YORK,2024,PA,42133.0,249210,91926.0,1422.0,978.0,154884.0
