County,FIPS,Percentbablack,edbachblack
Adams County,42001,22.9,271
Allegheny County,42003,22.9,22740
Armstrong County,42005,0.2,1
Beaver County,42007,17,1131
Bedford County,42009,13.4,22
Berks County,42011,22,2720
Blair County,42013,12.4,178
Bradford County,42015,16.4,47
Bucks County,42017,33,5355
Butler County,42019,21.8,289
Cambria County,42021,7.4,176
Cameron County,42023,0,0
Carbon County,42025,40.6,376
Centre County,42027,24.4,747
Chester County,42029,31.6,5738
Clarion County,42031,45.7,165
Clearfield County,42033,0.9,12
Clinton County,42035,18,48
Columbia County,42037,15.6,72
Crawford County,42039,10.4,74
Cumberland County,42041,18.6,1359
Dauphin County,42043,20.8,6395
Delaware County,42045,22.7,18088
Elk County,42047,14.5,19
Erie County,42049,16.2,1843
Fayette County,42051,13.1,446
Forest County,42053,5.9,53
Franklin County,42055,30,996
Fulton County,42057,5.7,9
Greene County,42059,4,29
Huntingdon County,42061,1.3,22
Indiana County,42063,4.8,52
Jefferson County,42065,53,53
Juniata County,42067,20.5,16
Lackawanna County,42069,8.9,365
Lancaster County,42071,24.9,3266
Lawrence County,42073,17.1,336
Lebanon County,42075,22.2,406
Lehigh County,42077,24.4,3667
Luzerne County,42079,10.2,913
Lycoming County,42081,14.4,446
McKean County,42083,3.4,22
Mercer County,42085,15.3,579
Mifflin County,42087,38.9,133
Monroe County,42089,29.3,4526
Montgomery County,42091,34.2,19191
Montour County,42093,44,120
Northampton County,42095,23.9,2934
Northumberland County,42097,4.2,79
Perry County,42099,15.8,47
Philadelphia County,42101,21.3,89050
Pike County,42103,37.6,1032
Potter County,42105,0,0
Schuylkill County,42107,3.1,103
Snyder County,42109,0,0
Somerset County,42111,0.5,8
Sullivan County,42113,15.2,5
Susquehanna County,42115,28.2,20
Tioga County,42117,11.6,18
Union County,42119,2,41
Venango County,42121,11.9,41
Warren County,42123,30.2,38
Washington County,42125,12.3,542
Wayne County,42127,2,31
Westmoreland County,42129,19.3,1063
Wyoming County,42131,16.7,7
York County,42133,21.7,3941
