County,FIPS,Percent18to39,Age18to39
Adams County,42001,27.1,28739
Allegheny County,42003,30.6,379026
Armstrong County,42005,22.8,14739
Beaver County,42007,24.5,40739
Bedford County,42009,23,10940
Berks County,42011,28.1,121738
Blair County,42013,26.2,31820
Bradford County,42015,24,14381
Bucks County,42017,24.8,160381
Butler County,42019,26.3,51957
Cambria County,42021,24.5,32203
Cameron County,42023,18.9,837
Carbon County,42025,23.9,15629
Centre County,42027,42.2,66969
Chester County,42029,27.1,148460
Clarion County,42031,29,10767
Clearfield County,42033,25.3,19881
Clinton County,42035,30.1,11389
Columbia County,42037,31.3,20442
Crawford County,42039,24.7,20416
Cumberland County,42041,29.2,78447
Dauphin County,42043,28.4,82302
Delaware County,42045,29.2,169000
Elk County,42047,22.2,6786
Erie County,42049,29.1,78200
Fayette County,42051,24.6,30961
Forest County,42053,35.7,2400
Franklin County,42055,25.5,40192
Fulton County,42057,23,3339
Greene County,42059,27.3,9520
Huntingdon County,42061,27.5,12024
Indiana County,42063,32,26546
Jefferson County,42065,24.2,10611
Juniata County,42067,24.8,5799
Lackawanna County,42069,27.3,58926
Lancaster County,42071,27.6,153886
Lawrence County,42073,24.4,20742
Lebanon County,42075,26,37442
Lehigh County,42077,28.3,107328
Luzerne County,42079,27.3,89318
Lycoming County,42081,27.4,31151
McKean County,42083,25.8,10308
Mercer County,42085,25.5,27885
Mifflin County,42087,23.4,10776
Monroe County,42089,26.2,43968
Montgomery County,42091,27,233958
Montour County,42093,26,4705
Northampton County,42095,28.5,90853
Northumberland County,42097,24.9,22573
Perry County,42099,24.5,11350
Philadelphia County,42101,35.7,564712
Pike County,42103,22.8,13821
Potter County,42105,21.6,3490
Schuylkill County,42107,25.7,36963
Snyder County,42109,28.7,11368
Somerset County,42111,23.8,17327
Sullivan County,42113,21.9,1291
Susquehanna County,42115,22.2,8482
Tioga County,42117,24.7,10132
Union County,42119,31.8,13487
Venango County,42121,22.5,11222
Warren County,42123,22.6,8588
Washington County,42125,25.4,53407
Wayne County,42127,23.5,12026
Westmoreland County,42129,23.6,83120
Wyoming County,42131,25,6496
York County,42133,26.7,123708
