County,FIPS,Percentblack,popblack
Adams County,42001,1.8,1952
Allegheny County,42003,12.5,154273
Armstrong County,42005,0.9,608
Beaver County,42007,6.2,10367
Bedford County,42009,0.7,342
Berks County,42011,4.6,19969
Blair County,42013,2,2423
Bradford County,42015,0.9,563
Bucks County,42017,3.8,24691
Butler County,42019,1.1,2113
Cambria County,42021,3.1,4024
Cameron County,42023,0.1,4
Carbon County,42025,2.2,1467
Centre County,42027,3.3,5257
Chester County,42029,5.2,28542
Clarion County,42031,1.7,625
Clearfield County,42033,2,1556
Clinton County,42035,1,391
Columbia County,42037,1.8,1184
Crawford County,42039,1.4,1148
Cumberland County,42041,4.4,11921
Dauphin County,42043,17.2,49862
Delaware County,42045,22.2,128315
Elk County,42047,0.6,184
Erie County,42049,7.2,19375
Fayette County,42051,3.9,4932
Forest County,42053,14.3,961
Franklin County,42055,3.1,4870
Fulton County,42057,1.3,187
Greene County,42059,2.8,967
Huntingdon County,42061,4.6,2020
Indiana County,42063,2.3,1886
Jefferson County,42065,0.4,157
Juniata County,42067,1,233
Lackawanna County,42069,3.1,6807
Lancaster County,42071,4,22388
Lawrence County,42073,3.8,3223
Lebanon County,42075,2.2,3168
Lehigh County,42077,6.5,24476
Luzerne County,42079,5,16461
Lycoming County,42081,4.3,4828
McKean County,42083,2.3,902
Mercer County,42085,5.8,6358
Mifflin County,42087,1,449
Monroe County,42089,13.9,23309
Montgomery County,42091,9.3,80978
Montour County,42093,2.4,439
Northampton County,42095,6.3,20188
Northumberland County,42097,2.6,2372
Perry County,42099,0.8,369
Philadelphia County,42101,39.4,621637
Pike County,42103,6,3660
Potter County,42105,0.4,72
Schuylkill County,42107,2.9,4118
Snyder County,42109,0.7,259
Somerset County,42111,2.6,1909
Sullivan County,42113,2.3,138
Susquehanna County,42115,0.3,99
Tioga County,42117,0.8,336
Union County,42119,5.9,2526
Venango County,42121,1.3,628
Warren County,42123,0.8,314
Washington County,42125,3.2,6683
Wayne County,42127,3.2,1657
Westmoreland County,42129,2.6,9148
Wyoming County,42131,0.6,153
York County,42133,6.3,29054
