County,FIPS,Percentwhite,popwhite
Adams County,42001,88.9,94377
Allegheny County,42003,76.1,941697
Armstrong County,42005,95.2,61501
Beaver County,42007,86.9,144595
Bedford County,42009,95.5,45397
Berks County,42011,69.6,301447
Blair County,42013,92.1,111706
Bradford County,42015,94.5,56595
Bucks County,42017,81.1,525093
Butler County,42019,92.8,183018
Cambria County,42021,91,119720
Cameron County,42023,92.6,4101
Carbon County,42025,88.9,58151
Centre County,42027,83.9,133022
Chester County,42029,77,422108
Clarion County,42031,94.4,35093
Clearfield County,42033,93.1,73217
Clinton County,42035,94,35538
Columbia County,42037,91.4,59749
Crawford County,42039,93.3,77153
Cumberland County,42041,82.1,220348
Dauphin County,42043,63,182570
Delaware County,42045,63.2,366265
Elk County,42047,95,28966
Erie County,42049,82.7,222619
Fayette County,42051,89.5,112746
Forest County,42053,78.8,5290
Franklin County,42055,86.8,136565
Fulton County,42057,93.6,13601
Greene County,42059,91.6,31901
Huntingdon County,42061,90,39268
Indiana County,42063,92.2,76532
Jefferson County,42065,95.9,42057
Juniata County,42067,92.6,21660
Lackawanna County,42069,81.3,175665
Lancaster County,42071,81.6,455405
Lawrence County,42073,89.5,76055
Lebanon County,42075,80.7,116318
Lehigh County,42077,62.3,236150
Luzerne County,42079,75.8,248337
Lycoming County,42081,88.5,100481
McKean County,42083,92.9,37055
Mercer County,42085,88.1,96236
Mifflin County,42087,93.5,43044
Monroe County,42089,63.7,106651
Montgomery County,42091,73.1,633871
Montour County,42093,89.7,16230
Northampton County,42095,74.2,236417
Northumberland County,42097,89.9,81389
Perry County,42099,94,43464
Philadelphia County,42101,35.1,555069
Pike County,42103,79.1,47981
Potter County,42105,95.2,15410
Schuylkill County,42107,87.7,125928
Snyder County,42109,94.5,37487
Somerset County,42111,93.9,68331
Sullivan County,42113,93.8,5520
Susquehanna County,42115,94.7,36197
Tioga County,42117,95.7,39174
Union County,42119,88.6,37633
Venango County,42121,93.6,46630
Warren County,42123,94.4,35784
Washington County,42125,90.1,189198
Wayne County,42127,89,45605
Westmoreland County,42129,91.8,323709
Wyoming County,42131,93.9,24372
York County,42133,81.2,375793
