County,FIPS,Percentpov,poverty
Adams County,42001,8.2,8336
Allegheny County,42003,11.5,138617
Armstrong County,42005,11.8,7543
Beaver County,42007,9.9,16198
Bedford County,42009,11.6,5429
Berks County,42011,12.2,51396
Blair County,42013,12,14128
Bradford County,42015,12.6,7479
Bucks County,42017,6.1,38944
Butler County,42019,8.1,15637
Cambria County,42021,14.2,17830
Cameron County,42023,13.5,594
Carbon County,42025,12.3,7903
Centre County,42027,16.3,22319
Chester County,42029,6,31893
Clarion County,42031,13.1,4681
Clearfield County,42033,14.6,10797
Clinton County,42035,14.8,5334
Columbia County,42037,13.7,8432
Crawford County,42039,14.3,11229
Cumberland County,42041,7.5,19066
Dauphin County,42043,12.9,36661
Delaware County,42045,10.2,56672
Elk County,42047,8.7,2625
Erie County,42049,15,38291
Fayette County,42051,16.8,20489
Forest County,42053,11.9,512
Franklin County,42055,8.5,13153
Fulton County,42057,11.2,1612
Greene County,42059,13.5,4286
Huntingdon County,42061,10.6,4111
Indiana County,42063,14,10879
Jefferson County,42065,14.1,6081
Juniata County,42067,9.7,2239
Lackawanna County,42069,14.4,29906
Lancaster County,42071,8.2,44440
Lawrence County,42073,11.9,9813
Lebanon County,42075,10.1,14171
Lehigh County,42077,11.6,42770
Luzerne County,42079,15.3,48510
Lycoming County,42081,12.8,13821
McKean County,42083,13.7,5070
Mercer County,42085,13.2,13486
Mifflin County,42087,16.2,7360
Monroe County,42089,10.7,17564
Montgomery County,42091,6.5,55064
Montour County,42093,8.8,1526
Northampton County,42095,8.8,26729
Northumberland County,42097,12.6,10939
Perry County,42099,8,3650
Philadelphia County,42101,21.4,327969
Pike County,42103,9.8,5888
Potter County,42105,13,2074
Schuylkill County,42107,12.8,17389
Snyder County,42109,9.4,3439
Somerset County,42111,11,7531
Sullivan County,42113,11.6,657
Susquehanna County,42115,11.4,4315
Tioga County,42117,11.7,4681
Union County,42119,9,3025
Venango County,42121,13.2,6418
Warren County,42123,10.8,4025
Washington County,42125,9.6,19665
Wayne County,42127,12.1,5824
Westmoreland County,42129,10.3,35494
Wyoming County,42131,11.5,2899
York County,42133,8.4,37988
