County,FIPS,Percentunemp,unemployed
Adams County,42001,3.4,1885
Allegheny County,42003,5,33744
Armstrong County,42005,4.3,1335
Beaver County,42007,5.3,4498
Bedford County,42009,3.9,885
Berks County,42011,5.4,12197
Blair County,42013,4.4,2565
Bradford County,42015,6.3,1714
Bucks County,42017,4.4,15527
Butler County,42019,4.4,4506
Cambria County,42021,4.7,2765
Cameron County,42023,7.8,153
Carbon County,42025,7.5,2483
Centre County,42027,4.3,3263
Chester County,42029,3.8,11299
Clarion County,42031,5.1,937
Clearfield County,42033,5.9,2151
Clinton County,42035,5.6,1027
Columbia County,42037,6,1954
Crawford County,42039,5,1843
Cumberland County,42041,3.7,5124
Dauphin County,42043,4.5,6735
Delaware County,42045,6.9,20905
Elk County,42047,5.7,873
Erie County,42049,5.4,6997
Fayette County,42051,6.3,3532
Forest County,42053,2.5,47
Franklin County,42055,4,3129
Fulton County,42057,2.9,206
Greene County,42059,5.6,829
Huntingdon County,42061,4.6,874
Indiana County,42063,6.7,2651
Jefferson County,42065,4.2,858
Juniata County,42067,2.1,240
Lackawanna County,42069,4.9,5182
Lancaster County,42071,3.4,9809
Lawrence County,42073,5.7,2305
Lebanon County,42075,4.3,3114
Lehigh County,42077,5.9,11603
Luzerne County,42079,5.8,9426
Lycoming County,42081,5.1,2854
McKean County,42083,4.9,885
Mercer County,42085,5.3,2651
Mifflin County,42087,2.7,581
Monroe County,42089,6.9,5816
Montgomery County,42091,4.5,21318
Montour County,42093,2.9,255
Northampton County,42095,4.6,7665
Northumberland County,42097,3.7,1568
Perry County,42099,3.1,724
Philadelphia County,42101,8.1,66252
Pike County,42103,7.5,2155
Potter County,42105,3.8,279
Schuylkill County,42107,5.6,3852
Snyder County,42109,2.4,480
Somerset County,42111,4.9,1674
Sullivan County,42113,5.8,156
Susquehanna County,42115,5.9,1031
Tioga County,42117,4.6,876
Union County,42119,2.2,387
Venango County,42121,5.6,1281
Warren County,42123,4.4,754
Washington County,42125,4.8,5088
Wayne County,42127,6,1342
Westmoreland County,42129,4.8,8539
Wyoming County,42131,5,630
York County,42133,4.5,11026
